Brand,Type,Name,Selling_Price,Original_Price,Display,Rating,Strap_Material,avg_battery_life
FOSSIL ,Smartwatch,FTW4003,19995,19995,AMOLED Display,3.1,Leather,2
FOSSIL ,Smartwatch,Gen 5E,18495,18495,AMOLED Display,4.6,Stainless Steel,1
FOSSIL ,Smartwatch,Sport 43,9995,17995,AMOLED Display,4,Silicone,2
FOSSIL ,Smartwatch,The Carlyle HR,25995,25995,AMOLED Display,4.2,Leather,14
FOSSIL ,Smartwatch,Garrett HR,15995,22995,AMOLED Display,4.1,Stainless Steel,14
FOSSIL ,Smartwatch,4th Gen Explorist HR,10998,21995,AMOLED Display,3.9,Stainless Steel,2
FOSSIL ,Smartwatch,Sport,17995,17995,AMOLED Display,4.6,Silicone,2
FOSSIL ,Smartwatch,FTW6001,21995,21995,AMOLED Display,4.2,Stainless Steel,2
FOSSIL ,Smartwatch,Q Founder 2.0,19995,19995,AMOLED Display,4.2,Stainless Steel,1
FOSSIL ,Smartwatch,Cameron Hybrid,8995,13495,AMOLED Display,4.6,Stainless Steel,12
FOSSIL ,Smartwatch,Gen 3 Q Explorist,15749,19995,AMOLED Display,4.1,Stainless Steel,2
FOSSIL ,Smartwatch,4th Gen Venture HR,17596,21995,AMOLED Display,3.9,Stainless Steel,14
FOSSIL ,Smartwatch,FTW6005,19995,19995,AMOLED Display,3.8,Stainless Steel,2
FOSSIL ,Smartwatch,Marshall,19995,19995,AMOLED Display,4.1,Stainless Steel,1
FOSSIL ,Smartwatch,Garrett Hybrid,11995,11995,AMOLED Display,3.7,Leather,12
FOSSIL ,Smartwatch,4th Gen Venture HR,10997,21995,AMOLED Display,3.9,Stainless Steel,14
FOSSIL ,Smartwatch,Marshall,19995,19995,AMOLED Display,4.1,Stainless Steel,1
FOSSIL ,Smartwatch,FTW1161 Hybrid,8995,14495,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,FTW1142 Q Hybrid,9796,13995,AMOLED Display,3.7,Stainless Steel,2
FOSSIL ,Smartwatch,Jacqueline Hybrid,8995,13495,AMOLED Display,4,Leather,12
FOSSIL ,Smartwatch,Gen 3 Q Explorist,15034,15034,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,Gen 5 Julianna HR,14995,22995,AMOLED Display,4.3,Stainless Steel,2
FOSSIL ,Smartwatch,Cameron Hybrid Smartwatch,13495,13495,AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Gen 3 Q Venture,19995,19995,AMOLED Display,4.3,Stainless Steel,1
FOSSIL ,Smartwatch,Jacqueline Hybrid,11995,11995,AMOLED Display,4.6,Leather,12
FOSSIL ,Smartwatch,Q Annette,6995,11995,AMOLED Display,4.6,Silicone,1
